name,display_name,pubmed_occurrence
penile neoplasms,Penile Neoplasms,2119
addison disease,Addison Disease,2119
neuroendocrine tumors,Neuroendocrine Tumors,2117
insect bites and stings,Insect Bites and Stings,2114
peritoneal diseases,Peritoneal Diseases,2113
"esophagitis, peptic","Esophagitis, Peptic",2108
cerebellar ataxia,Cerebellar Ataxia,2108
corneal ulcer,Corneal Ulcer,2106
chorea,Chorea,2104
ureteral diseases,Ureteral Diseases,2104
"infarction, middle cerebral artery","Infarction, Middle Cerebral Artery",2103
"hypoxia-ischemia, brain","Hypoxia-Ischemia, Brain",2102
testicular diseases,Testicular Diseases,2102
vocal cord paralysis,Vocal Cord Paralysis,2101
respiratory syncytial virus infections,Respiratory Syncytial Virus Infections,2100
"multiple sclerosis, relapsing-remitting","Multiple Sclerosis, Relapsing-Remitting",2100
"hyperparathyroidism, secondary","Hyperparathyroidism, Secondary",2094
osteomalacia,Osteomalacia,2090
placenta diseases,Placenta Diseases,2089
trichinellosis,Trichinellosis,2086
reflex sympathetic dystrophy,Reflex Sympathetic Dystrophy,2085
glucosephosphate dehydrogenase deficiency,Glucosephosphate Dehydrogenase Deficiency,2085
vitamin a deficiency,Vitamin A Deficiency,2078
nose diseases,Nose Diseases,2074
coronary restenosis,Coronary Restenosis,2072
stomatitis,Stomatitis,2068
jaw diseases,Jaw Diseases,2064
"pneumonia, viral","Pneumonia, Viral",2062
spinal dysraphism,Spinal Dysraphism,2058
herpes genitalis,Herpes Genitalis,2055
"trypanosomiasis, african","Trypanosomiasis, African",2055
pharyngeal diseases,Pharyngeal Diseases,2048
radius fractures,Radius Fractures,2045
lymphadenitis,Lymphadenitis,2041
ascariasis,Ascariasis,2040
"arthritis, reactive","Arthritis, Reactive",2038
"liver failure, acute","Liver Failure, Acute",2037
purpura,Purpura,2035
tinea,Tinea,2031
tooth fractures,Tooth Fractures,2026
epidermal cyst,Epidermal Cyst,2017
"toxoplasmosis, animal","Toxoplasmosis, Animal",2015
splenic neoplasms,Splenic Neoplasms,2014
systemic inflammatory response syndrome,Systemic Inflammatory Response Syndrome,2011
asbestosis,Asbestosis,2008
stuttering,Stuttering,2006
warts,Warts,2000
sciatica,Sciatica,1998
mediastinal diseases,Mediastinal Diseases,1997
hyperhomocysteinemia,Hyperhomocysteinemia,1996
mesenteric vascular occlusion,Mesenteric Vascular Occlusion,1993
aids dementia complex,AIDS Dementia Complex,1991
"colorectal neoplasms, hereditary nonpolyposis","Colorectal Neoplasms, Hereditary Nonpolyposis",1991
brain concussion,Brain Concussion,1990
giardiasis,Giardiasis,1989
malnutrition,Malnutrition,1989
foodborne diseases,Foodborne Diseases,1989
endotoxemia,Endotoxemia,1988
splenomegaly,Splenomegaly,1985
labyrinth diseases,Labyrinth Diseases,1983
tracheal stenosis,Tracheal Stenosis,1967
tetralogy of fallot,Tetralogy of Fallot,1967
tooth abnormalities,Tooth Abnormalities,1966
color vision defects,Color Vision Defects,1963
thyroid nodule,Thyroid Nodule,1961
uveal neoplasms,Uveal Neoplasms,1961
familial mediterranean fever,Familial Mediterranean Fever,1957
thyroiditis,Thyroiditis,1956
dermoid cyst,Dermoid Cyst,1942
"arthritis, psoriatic","Arthritis, Psoriatic",1942
takayasu arteritis,Takayasu Arteritis,1942
germinoma,Germinoma,1939
charcot-marie-tooth disease,Charcot-Marie-Tooth Disease,1937
rotavirus infections,Rotavirus Infections,1932
jejunal diseases,Jejunal Diseases,1932
"scleroderma, localized","Scleroderma, Localized",1931
pancreatic cyst,Pancreatic Cyst,1925
hyperventilation,Hyperventilation,1925
dyslipidemias,Dyslipidemias,1920
asphyxia,Asphyxia,1918
"fetal membranes, premature rupture","Fetal Membranes, Premature Rupture",1915
hypergammaglobulinemia,Hypergammaglobulinemia,1914
cysticercosis,Cysticercosis,1912
uterine cervical diseases,Uterine Cervical Diseases,1912
simian acquired immunodeficiency syndrome,Simian Acquired Immunodeficiency Syndrome,1910
odontogenic tumors,Odontogenic Tumors,1892
rabies,Rabies,1890
varicose ulcer,Varicose Ulcer,1887
cranial nerve neoplasms,Cranial Nerve Neoplasms,1886
sweat gland neoplasms,Sweat Gland Neoplasms,1886
pseudotumor cerebri,Pseudotumor Cerebri,1885
blood platelet disorders,Blood Platelet Disorders,1885
"shock, traumatic","Shock, Traumatic",1879
mandibular fractures,Mandibular Fractures,1878
ankle injuries,Ankle Injuries,1876
macular edema,Macular Edema,1874
agricultural workers' diseases,Agricultural Workers' Diseases,1867
hemophilia b,Hemophilia B,1859
osteolysis,Osteolysis,1857
"candidiasis, oral","Candidiasis, Oral",1856
diphtheria,Diphtheria,1852
carbon tetrachloride poisoning,Carbon Tetrachloride Poisoning,1851
leptospirosis,Leptospirosis,1849
pleurisy,Pleurisy,1849
pulmonary valve stenosis,Pulmonary Valve Stenosis,1847
"alveolitis, extrinsic allergic","Alveolitis, Extrinsic Allergic",1846
bronchial spasm,Bronchial Spasm,1840
coxsackievirus infections,Coxsackievirus Infections,1839
urethral diseases,Urethral Diseases,1835
mucormycosis,Mucormycosis,1833
"pemphigoid, bullous","Pemphigoid, Bullous",1832
foreign-body reaction,Foreign-Body Reaction,1830
exophthalmos,Exophthalmos,1828
tendinopathy,Tendinopathy,1826
fabry disease,Fabry Disease,1826
paranasal sinus diseases,Paranasal Sinus Diseases,1825
retinopathy of prematurity,Retinopathy of Prematurity,1824
severe acute respiratory syndrome,Severe Acute Respiratory Syndrome,1818
insulinoma,Insulinoma,1818
pulmonary atelectasis,Pulmonary Atelectasis,1818
ichthyosis,Ichthyosis,1812
hypoparathyroidism,Hypoparathyroidism,1812
solitary pulmonary nodule,Solitary Pulmonary Nodule,1811
coronary aneurysm,Coronary Aneurysm,1808
arteritis,Arteritis,1804
ureteral neoplasms,Ureteral Neoplasms,1801
"muscular dystrophy, duchenne","Muscular Dystrophy, Duchenne",1800
retinal vein occlusion,Retinal Vein Occlusion,1798
blood protein disorders,Blood Protein Disorders,1798
psychomotor disorders,Psychomotor Disorders,1794
goat diseases,Goat Diseases,1793
clostridium infections,Clostridium Infections,1790
shoulder dislocation,Shoulder Dislocation,1789
lipidoses,Lipidoses,1786
bone cysts,Bone Cysts,1783
tooth diseases,Tooth Diseases,1779
hemorrhagic disorders,Hemorrhagic Disorders,1779
lung abscess,Lung Abscess,1773
"hemoglobinuria, paroxysmal","Hemoglobinuria, Paroxysmal",1772
calculi,Calculi,1772
"pneumonia, pneumococcal","Pneumonia, Pneumococcal",1770
urologic neoplasms,Urologic Neoplasms,1770
"translocation, genetic","Translocation, Genetic",1770
"lymphoma, t-cell, cutaneous","Lymphoma, T-Cell, Cutaneous",1765
ependymoma,Ependymoma,1763
liposarcoma,Liposarcoma,1761
hernia,Hernia,1761
ectodermal dysplasia,Ectodermal Dysplasia,1756
hemoglobinopathies,Hemoglobinopathies,1754
hyperkinesis,Hyperkinesis,1753
"adenocarcinoma, papillary","Adenocarcinoma, Papillary",1751
"cardiac complexes, premature","Cardiac Complexes, Premature",1747
pituitary diseases,Pituitary Diseases,1744
prion diseases,Prion Diseases,1743
"ventricular dysfunction, right","Ventricular Dysfunction, Right",1743
angiomatosis,Angiomatosis,1742
klinefelter syndrome,Klinefelter Syndrome,1741
hirsutism,Hirsutism,1740
cecal diseases,Cecal Diseases,1738
"cholestasis, extrahepatic","Cholestasis, Extrahepatic",1736
neuritis,Neuritis,1735
wrist injuries,Wrist Injuries,1735
contracture,Contracture,1734
femoral neck fractures,Femoral Neck Fractures,1734
fetal alcohol syndrome,Fetal Alcohol Syndrome,1733
"liver abscess, amebic","Liver Abscess, Amebic",1730
"pneumonia, mycoplasma","Pneumonia, Mycoplasma",1729
nocardia infections,Nocardia Infections,1728
syringomyelia,Syringomyelia,1728
meckel diverticulum,Meckel Diverticulum,1725
renal osteodystrophy,Renal Osteodystrophy,1723
strongyloidiasis,Strongyloidiasis,1722
hyperprolactinemia,Hyperprolactinemia,1721
cryoglobulinemia,Cryoglobulinemia,1721
"adenoma, pleomorphic","Adenoma, Pleomorphic",1720
cryptosporidiosis,Cryptosporidiosis,1719
ataxia telangiectasia,Ataxia Telangiectasia,1718
whiplash injuries,Whiplash Injuries,1718
thoracic diseases,Thoracic Diseases,1717
exanthema,Exanthema,1715
folic acid deficiency,Folic Acid Deficiency,1714
sleep deprivation,Sleep Deprivation,1712
guillain-barre syndrome,Guillain-Barre Syndrome,1711
vulvar diseases,Vulvar Diseases,1710
parvoviridae infections,Parvoviridae Infections,1707
prenatal exposure delayed effects,Prenatal Exposure Delayed Effects,1703
"granulomatous disease, chronic","Granulomatous Disease, Chronic",1700
radiculopathy,Radiculopathy,1699
eclampsia,Eclampsia,1696
"epidermal necrolysis, toxic","Epidermal Necrolysis, Toxic",1696
xeroderma pigmentosum,Xeroderma Pigmentosum,1695
"osteoarthritis, hip","Osteoarthritis, Hip",1694
humeral fractures,Humeral Fractures,1694
"pneumonia, aspiration","Pneumonia, Aspiration",1693
"epilepsy, absence","Epilepsy, Absence",1693
varicocele,Varicocele,1692
"tooth, impacted","Tooth, Impacted",1688
deficiency diseases,Deficiency Diseases,1687
"candidiasis, vulvovaginal","Candidiasis, Vulvovaginal",1684
"conjunctivitis, allergic","Conjunctivitis, Allergic",1684
retinitis,Retinitis,1683
eyelid neoplasms,Eyelid Neoplasms,1682
penile diseases,Penile Diseases,1681
vestibular diseases,Vestibular Diseases,1680
adenoviridae infections,Adenoviridae Infections,1679
cystadenoma,Cystadenoma,1679
"mammary neoplasms, animal","Mammary Neoplasms, Animal",1677
scrapie,Scrapie,1677
finger injuries,Finger Injuries,1671
yersinia infections,Yersinia Infections,1664
brain death,Brain Death,1661
budd-chiari syndrome,Budd-Chiari Syndrome,1657
urinary bladder neck obstruction,Urinary Bladder Neck Obstruction,1657
retinal hemorrhage,Retinal Hemorrhage,1655
nematode infections,Nematode Infections,1653
alveolar bone loss,Alveolar Bone Loss,1653
splenic rupture,Splenic Rupture,1651
mitochondrial diseases,Mitochondrial Diseases,1647
hyperemia,Hyperemia,1644
"corneal dystrophies, hereditary","Corneal Dystrophies, Hereditary",1642
fanconi anemia,Fanconi Anemia,1642
"head injuries, closed","Head Injuries, Closed",1641
mercury poisoning,Mercury Poisoning,1640
"carcinoma, pancreatic ductal","Carcinoma, Pancreatic Ductal",1637
morphine dependence,Morphine Dependence,1631
paraganglioma,Paraganglioma,1628
"abortion, veterinary","Abortion, Veterinary",1625
"hematoma, epidural, cranial","Hematoma, Epidural, Cranial",1624
leukopenia,Leukopenia,1624
scalp dermatoses,Scalp Dermatoses,1624
"neoplastic cells, circulating","Neoplastic Cells, Circulating",1621
anus diseases,Anus Diseases,1619
thyrotoxicosis,Thyrotoxicosis,1619
"meningitis, meningococcal","Meningitis, Meningococcal",1618
"sarcoidosis, pulmonary","Sarcoidosis, Pulmonary",1617
vaginal diseases,Vaginal Diseases,1616
water-electrolyte imbalance,Water-Electrolyte Imbalance,1615
astigmatism,Astigmatism,1614
chondroma,Chondroma,1613
"stomatitis, aphthous","Stomatitis, Aphthous",1613
"embolism, fat","Embolism, Fat",1613
"epilepsy, tonic-clonic","Epilepsy, Tonic-Clonic",1612
tracheal diseases,Tracheal Diseases,1611
"tuberculosis, gastrointestinal","Tuberculosis, Gastrointestinal",1610
myxedema,Myxedema,1610
"muscular atrophy, spinal","Muscular Atrophy, Spinal",1609
sensation disorders,Sensation Disorders,1607
duodenal obstruction,Duodenal Obstruction,1606
mucocele,Mucocele,1605
transposition of great vessels,Transposition of Great Vessels,1605
craniofacial abnormalities,Craniofacial Abnormalities,1604
uterine cervical dysplasia,Uterine Cervical Dysplasia,1603
neck pain,Neck Pain,1603
ocular motility disorders,Ocular Motility Disorders,1602
"uveitis, anterior","Uveitis, Anterior",1602
narcolepsy,Narcolepsy,1600
oropharyngeal neoplasms,Oropharyngeal Neoplasms,1598
hyperlipoproteinemias,Hyperlipoproteinemias,1598
hirschsprung disease,Hirschsprung Disease,1596
olfaction disorders,Olfaction Disorders,1594
lipodystrophy,Lipodystrophy,1592
mycobacterium avium-intracellulare infection,Mycobacterium avium-intracellulare Infection,1591
"polycystic kidney, autosomal dominant","Polycystic Kidney, Autosomal Dominant",1591
"carcinoma, medullary","Carcinoma, Medullary",1590
torticollis,Torticollis,1590
"spasms, infantile","Spasms, Infantile",1587
pyloric stenosis,Pyloric Stenosis,1585
tongue diseases,Tongue Diseases,1581
epistaxis,Epistaxis,1578
alopecia areata,Alopecia Areata,1578
infant nutrition disorders,Infant Nutrition Disorders,1578
"cholangitis, sclerosing","Cholangitis, Sclerosing",1576
salivary gland diseases,Salivary Gland Diseases,1575
"acidosis, renal tubular","Acidosis, Renal Tubular",1574
"hepatitis, autoimmune","Hepatitis, Autoimmune",1569
"tuberculosis, spinal","Tuberculosis, Spinal",1568
ileal neoplasms,Ileal Neoplasms,1565
enterovirus infections,Enterovirus Infections,1564
bronchial fistula,Bronchial Fistula,1564
prader-willi syndrome,Prader-Willi Syndrome,1564
telangiectasis,Telangiectasis,1564
ehlers-danlos syndrome,Ehlers-Danlos Syndrome,1562
vaginitis,Vaginitis,1560
mediastinal emphysema,Mediastinal Emphysema,1557
fasciitis,Fasciitis,1554
arteriosclerosis obliterans,Arteriosclerosis Obliterans,1539
eye foreign bodies,Eye Foreign Bodies,1539
htlv-i infections,HTLV-I Infections,1538
giant cell tumors,Giant Cell Tumors,1538
"pleural effusion, malignant","Pleural Effusion, Malignant",1538
"telangiectasia, hereditary hemorrhagic","Telangiectasia, Hereditary Hemorrhagic",1537
altitude sickness,Altitude Sickness,1534
alkalosis,Alkalosis,1532
"schizophrenia, paranoid","Schizophrenia, Paranoid",1532
methemoglobinemia,Methemoglobinemia,1531
"keratitis, dendritic","Keratitis, Dendritic",1530
"sinus thrombosis, intracranial","Sinus Thrombosis, Intracranial",1530
insulin resistance,Insulin Resistance,1530
jaw neoplasms,Jaw Neoplasms,1529
cartilage diseases,Cartilage Diseases,1528
paresthesia,Paresthesia,1528
otosclerosis,Otosclerosis,1527
restless legs syndrome,Restless Legs Syndrome,1527
melanosis,Melanosis,1525
spondylitis,Spondylitis,1520
diffuse cerebral sclerosis of schilder,Diffuse Cerebral Sclerosis of Schilder,1520
tricuspid valve insufficiency,Tricuspid Valve Insufficiency,1517
"leukoencephalopathy, progressive multifocal","Leukoencephalopathy, Progressive Multifocal",1515
laryngitis,Laryngitis,1515
"acidosis, lactic","Acidosis, Lactic",1512
arthralgia,Arthralgia,1509
bile duct diseases,Bile Duct Diseases,1509
"neoplasms, unknown primary","Neoplasms, Unknown Primary",1508
"wounds, stab","Wounds, Stab",1507
"glomerulonephritis, membranous","Glomerulonephritis, Membranous",1505
neurotoxicity syndromes,Neurotoxicity Syndromes,1504
retroperitoneal fibrosis,Retroperitoneal Fibrosis,1500
hemangiopericytoma,Hemangiopericytoma,1499
meningomyelocele,Meningomyelocele,1497
urinary retention,Urinary Retention,1495
postoperative hemorrhage,Postoperative Hemorrhage,1494
"aneurysm, infected","Aneurysm, Infected",1493
common bile duct neoplasms,Common Bile Duct Neoplasms,1492
mastocytosis,Mastocytosis,1489
necrosis,Necrosis,1489
mumps,Mumps,1486
neurofibroma,Neurofibroma,1484
"depression, postpartum","Depression, Postpartum",1483
hyperbilirubinemia,Hyperbilirubinemia,1483
"leukemia, t-cell","Leukemia, T-Cell",1479
iron overload,Iron Overload,1477
fetal hypoxia,Fetal Hypoxia,1475
"thrombocythemia, essential","Thrombocythemia, Essential",1473
hip dislocation,Hip Dislocation,1473
"tuberculosis, multidrug-resistant","Tuberculosis, Multidrug-Resistant",1472
"skin diseases, bacterial","Skin Diseases, Bacterial",1471
onychomycosis,Onychomycosis,1471
cerebral ventricle neoplasms,Cerebral Ventricle Neoplasms,1471
hair diseases,Hair Diseases,1469
"fractures, stress","Fractures, Stress",1467
"child development disorders, pervasive","Child Development Disorders, Pervasive",1467
helminthiasis,Helminthiasis,1465
"pericarditis, constrictive","Pericarditis, Constrictive",1465
marijuana abuse,Marijuana Abuse,1465
thrombocytosis,Thrombocytosis,1462
blood group incompatibility,Blood Group Incompatibility,1461
paresis,Paresis,1460
cumulative trauma disorders,Cumulative Trauma Disorders,1460
biliary fistula,Biliary Fistula,1459
bronchopulmonary dysplasia,Bronchopulmonary Dysplasia,1457
retinal perforations,Retinal Perforations,1457
chylothorax,Chylothorax,1455
neuroleptic malignant syndrome,Neuroleptic Malignant Syndrome,1455
gangrene,Gangrene,1455
viremia,Viremia,1454
spinal osteophytosis,Spinal Osteophytosis,1454
brain infarction,Brain Infarction,1454
"encephalitis, viral","Encephalitis, Viral",1453
pulmonary eosinophilia,Pulmonary Eosinophilia,1453
conjunctival diseases,Conjunctival Diseases,1453
epidermolysis bullosa,Epidermolysis Bullosa,1453
decompression sickness,Decompression Sickness,1451
urogenital neoplasms,Urogenital Neoplasms,1450
retroviridae infections,Retroviridae Infections,1449
giant lymph node hyperplasia,Giant Lymph Node Hyperplasia,1449
craniopharyngioma,Craniopharyngioma,1448
sigmoid neoplasms,Sigmoid Neoplasms,1446
prostatic diseases,Prostatic Diseases,1441
immune complex diseases,Immune Complex Diseases,1441
dermatitis herpetiformis,Dermatitis Herpetiformis,1438
"sarcoma, synovial","Sarcoma, Synovial",1435
esophageal perforation,Esophageal Perforation,1433
leukocytosis,Leukocytosis,1429
"genital neoplasms, male","Genital Neoplasms, Male",1428
vitamin e deficiency,Vitamin E Deficiency,1426
q fever,Q Fever,1425
carcinosarcoma,Carcinosarcoma,1425
"carcinoma, lobular","Carcinoma, Lobular",1425
"epilepsies, myoclonic","Epilepsies, Myoclonic",1424
polymyalgia rheumatica,Polymyalgia Rheumatica,1423
postpartum hemorrhage,Postpartum Hemorrhage,1423
vertebrobasilar insufficiency,Vertebrobasilar Insufficiency,1422
vascular neoplasms,Vascular Neoplasms,1421
prediabetic state,Prediabetic State,1421
keratoconus,Keratoconus,1419
"meningitis, pneumococcal","Meningitis, Pneumococcal",1418
hemangioendothelioma,Hemangioendothelioma,1417
"tuberculosis, miliary","Tuberculosis, Miliary",1416
osteopetrosis,Osteopetrosis,1416
keloid,Keloid,1415
"pregnancy, tubal","Pregnancy, Tubal",1414
eye abnormalities,Eye Abnormalities,1413
"lymphoma, aids-related","Lymphoma, AIDS-Related",1412
erythema nodosum,Erythema Nodosum,1411
retinal neoplasms,Retinal Neoplasms,1409
papilledema,Papilledema,1409
facies,Facies,1409
blepharoptosis,Blepharoptosis,1407
"leukemia, monocytic, acute","Leukemia, Monocytic, Acute",1405
fungemia,Fungemia,1403
"dysentery, amebic","Dysentery, Amebic",1403
menorrhagia,Menorrhagia,1403
lactose intolerance,Lactose Intolerance,1402
intracranial embolism,Intracranial Embolism,1400
subacute sclerosing panencephalitis,Subacute Sclerosing Panencephalitis,1399
"lupus erythematosus, discoid","Lupus Erythematosus, Discoid",1398
cluster headache,Cluster Headache,1395
"lipid metabolism, inborn errors","Lipid Metabolism, Inborn Errors",1395
sprains and strains,Sprains and Strains,1395
onchocerciasis,Onchocerciasis,1393
trichomonas vaginitis,Trichomonas Vaginitis,1393
spinal stenosis,Spinal Stenosis,1391
contusions,Contusions,1389
trophoblastic neoplasms,Trophoblastic Neoplasms,1388
microcephaly,Microcephaly,1384
common bile duct diseases,Common Bile Duct Diseases,1383
blister,Blister,1379
gambling,Gambling,1379
intracranial hemorrhages,Intracranial Hemorrhages,1378
adjustment disorders,Adjustment Disorders,1376
facial injuries,Facial Injuries,1372
endometrial hyperplasia,Endometrial Hyperplasia,1371
dissociative disorders,Dissociative Disorders,1370
hemoperitoneum,Hemoperitoneum,1366
dry eye syndromes,Dry Eye Syndromes,1366
craniosynostoses,Craniosynostoses,1365
birth injuries,Birth Injuries,1364
"carcinoma 256, walker","Carcinoma 256, Walker",1363
lacrimal apparatus diseases,Lacrimal Apparatus Diseases,1362
"granuloma, plasma cell","Granuloma, Plasma Cell",1360
ameloblastoma,Ameloblastoma,1358
"osteoma, osteoid","Osteoma, Osteoid",1356
phlebitis,Phlebitis,1355
"pancreatitis, acute necrotizing","Pancreatitis, Acute Necrotizing",1353
encephalomyelitis,Encephalomyelitis,1353
eosinophilic granuloma,Eosinophilic Granuloma,1350
"carbohydrate metabolism, inborn errors","Carbohydrate Metabolism, Inborn Errors",1349
zollinger-ellison syndrome,Zollinger-Ellison Syndrome,1348
"epilepsy, generalized","Epilepsy, Generalized",1346
pancreatic pseudocyst,Pancreatic Pseudocyst,1344
moyamoya disease,Moyamoya Disease,1343
psychomotor agitation,Psychomotor Agitation,1340
"histiocytosis, non-langerhans-cell","Histiocytosis, Non-Langerhans-Cell",1340
"neoplasms, glandular and epithelial","Neoplasms, Glandular and Epithelial",1338
inappropriate adh syndrome,Inappropriate ADH Syndrome,1338
peptic ulcer perforation,Peptic Ulcer Perforation,1335
optic atrophy,Optic Atrophy,1334
uterine rupture,Uterine Rupture,1333
xerostomia,Xerostomia,1332
gingival diseases,Gingival Diseases,1331
tracheal neoplasms,Tracheal Neoplasms,1330
arm injuries,Arm Injuries,1328
fallopian tube diseases,Fallopian Tube Diseases,1327
dysmenorrhea,Dysmenorrhea,1327
hemorrhoids,Hemorrhoids,1326
anuria,Anuria,1326
severe combined immunodeficiency,Severe Combined Immunodeficiency,1326
neurosyphilis,Neurosyphilis,1324
glycogen storage disease,Glycogen Storage Disease,1322
fibrocystic breast disease,Fibrocystic Breast Disease,1322
empyema,Empyema,1321
femoral neoplasms,Femoral Neoplasms,1321
fibrous dysplasia of bone,Fibrous Dysplasia of Bone,1316
gynecomastia,Gynecomastia,1316
influenza in birds,Influenza in Birds,1315
"glomerulonephritis, membranoproliferative","Glomerulonephritis, Membranoproliferative",1313
bronchiolitis,Bronchiolitis,1309
oligodendroglioma,Oligodendroglioma,1307
"seizures, febrile","Seizures, Febrile",1304
choroid diseases,Choroid Diseases,1300
sick sinus syndrome,Sick Sinus Syndrome,1300
"leukoplakia, oral","Leukoplakia, Oral",1296
"neoplasms, muscle tissue","Neoplasms, Muscle Tissue",1288
combat disorders,Combat Disorders,1288
myelitis,Myelitis,1285
"gait disorders, neurologic","Gait Disorders, Neurologic",1285
lipomatosis,Lipomatosis,1285
cranial nerve diseases,Cranial Nerve Diseases,1282
"goiter, nodular","Goiter, Nodular",1280
appendiceal neoplasms,Appendiceal Neoplasms,1277
surgical wound dehiscence,Surgical Wound Dehiscence,1277
sigmoid diseases,Sigmoid Diseases,1276
encephalocele,Encephalocele,1275
cerebral arterial diseases,Cerebral Arterial Diseases,1274
dental pulp diseases,Dental Pulp Diseases,1273
friedreich ataxia,Friedreich Ataxia,1272
myocardial stunning,Myocardial Stunning,1270
kyphosis,Kyphosis,1266
coccidioidomycosis,Coccidioidomycosis,1263
von hippel-lindau disease,von Hippel-Lindau Disease,1256
eye burns,Eye Burns,1255
maxillary diseases,Maxillary Diseases,1254
"vaginosis, bacterial","Vaginosis, Bacterial",1250
rett syndrome,Rett Syndrome,1249
trachoma,Trachoma,1245
intracranial hypertension,Intracranial Hypertension,1245
sarcoma 180,Sarcoma 180,1242
schizotypal personality disorder,Schizotypal Personality Disorder,1241
mastitis,Mastitis,1237
cholesteatoma,Cholesteatoma,1237
arnold-chiari malformation,Arnold-Chiari Malformation,1236
"adenocarcinoma, bronchiolo-alveolar","Adenocarcinoma, Bronchiolo-Alveolar",1235
conjunctival neoplasms,Conjunctival Neoplasms,1235
uterine prolapse,Uterine Prolapse,1232
bezoars,Bezoars,1231
ganglioneuroma,Ganglioneuroma,1230
superior vena cava syndrome,Superior Vena Cava Syndrome,1230
"brain diseases, metabolic","Brain Diseases, Metabolic",1227
apraxias,Apraxias,1227
scabies,Scabies,1226
"fasciitis, necrotizing","Fasciitis, Necrotizing",1224
priapism,Priapism,1221
thromboangiitis obliterans,Thromboangiitis Obliterans,1221
protein-losing enteropathies,Protein-Losing Enteropathies,1220
chordoma,Chordoma,1219
babesiosis,Babesiosis,1218
"angina pectoris, variant","Angina Pectoris, Variant",1217
aortic arch syndromes,Aortic Arch Syndromes,1217
erythema multiforme,Erythema Multiforme,1217
"paraganglioma, extra-adrenal","Paraganglioma, Extra-Adrenal",1216
"tuberculosis, cutaneous","Tuberculosis, Cutaneous",1215
"asthma, exercise-induced","Asthma, Exercise-Induced",1213
multiple endocrine neoplasia,Multiple Endocrine Neoplasia,1211
synovial cyst,Synovial Cyst,1210
pseudarthrosis,Pseudarthrosis,1210
urinary fistula,Urinary Fistula,1209
digestive system neoplasms,Digestive System Neoplasms,1205
mediastinitis,Mediastinitis,1204
anthrax,Anthrax,1203
biliary tract neoplasms,Biliary Tract Neoplasms,1201
spermatic cord torsion,Spermatic Cord Torsion,1201
"diverticulum, colon","Diverticulum, Colon",1201
polymyositis,Polymyositis,1198
whipple disease,Whipple Disease,1194
"urinary bladder, overactive","Urinary Bladder, Overactive",1194
agoraphobia,Agoraphobia,1194
paranoid disorders,Paranoid Disorders,1193
"tuberculosis, renal","Tuberculosis, Renal",1192
pyoderma,Pyoderma,1190
tracheoesophageal fistula,Tracheoesophageal Fistula,1188
nasal obstruction,Nasal Obstruction,1188
torsades de pointes,Torsades de Pointes,1187
self mutilation,Self Mutilation,1187
"anemia, macrocytic","Anemia, Macrocytic",1184
diplopia,Diplopia,1183
lip neoplasms,Lip Neoplasms,1182
"empyema, pleural","Empyema, Pleural",1181
premature birth,Premature Birth,1180
"malaria, vivax","Malaria, Vivax",1179
"arrhythmia, sinus","Arrhythmia, Sinus",1179
trisomy,Trisomy,1177
confusion,Confusion,1176
"liver diseases, parasitic","Liver Diseases, Parasitic",1175
fallopian tube neoplasms,Fallopian Tube Neoplasms,1174
"eye infections, fungal","Eye Infections, Fungal",1173
"vasculitis, leukocytoclastic, cutaneous","Vasculitis, Leukocytoclastic, Cutaneous",1172
acrodermatitis,Acrodermatitis,1172
acute-phase reaction,Acute-Phase Reaction,1171
otitis externa,Otitis Externa,1169
"tachycardia, atrioventricular nodal reentry","Tachycardia, Atrioventricular Nodal Reentry",1169
seminoma,Seminoma,1168
"vasospasm, intracranial","Vasospasm, Intracranial",1168
myosarcoma,Myosarcoma,1167
"nephrosis, lipoid","Nephrosis, Lipoid",1166
"supranuclear palsy, progressive","Supranuclear Palsy, Progressive",1164
odontogenic cysts,Odontogenic Cysts,1163
cystadenocarcinoma,Cystadenocarcinoma,1162
esophageal fistula,Esophageal Fistula,1162
carotid artery thrombosis,Carotid Artery Thrombosis,1162
prolactinoma,Prolactinoma,1160
pancytopenia,Pancytopenia,1160
osteoma,Osteoma,1159
short bowel syndrome,Short Bowel Syndrome,1158
anodontia,Anodontia,1158
palatal neoplasms,Palatal Neoplasms,1157
spondylolisthesis,Spondylolisthesis,1157
polyradiculopathy,Polyradiculopathy,1157
jejunal neoplasms,Jejunal Neoplasms,1153
stevens-johnson syndrome,Stevens-Johnson Syndrome,1153
hyperpigmentation,Hyperpigmentation,1153
urethral neoplasms,Urethral Neoplasms,1152
"diverticulitis, colonic","Diverticulitis, Colonic",1150
lactation disorders,Lactation Disorders,1149
"hernia, ventral","Hernia, Ventral",1147
"keratoderma, palmoplantar","Keratoderma, Palmoplantar",1146
hemosiderosis,Hemosiderosis,1144
hemorrhagic fever with renal syndrome,Hemorrhagic Fever with Renal Syndrome,1142
venous thromboembolism,Venous Thromboembolism,1140
"hernia, hiatal","Hernia, Hiatal",1140
"adenocarcinoma, follicular","Adenocarcinoma, Follicular",1138
thiamine deficiency,Thiamine Deficiency,1138
tooth discoloration,Tooth Discoloration,1136
keratoconjunctivitis,Keratoconjunctivitis,1136
"dermatitis, exfoliative","Dermatitis, Exfoliative",1136
bronchiolitis obliterans,Bronchiolitis Obliterans,1134
botulism,Botulism,1132
ventricular outflow obstruction,Ventricular Outflow Obstruction,1132
